video_id,video_name,frame_index,fps,avg_brightness,avg_ir
1,IMG_9333.MOV,0,29.205246913580247,141.44076822916668,37
1,IMG_9333.MOV,1,29.205246913580247,141.35217110339505,34
1,IMG_9333.MOV,2,29.205246913580247,141.3680787037037,30
1,IMG_9333.MOV,3,29.205246913580247,141.3257817322531,30
1,IMG_9333.MOV,4,29.205246913580247,141.10860725308643,39
1,IMG_9333.MOV,5,29.205246913580247,141.1073427854938,22
1,IMG_9333.MOV,6,29.205246913580247,141.0354263117284,35
1,IMG_9333.MOV,7,29.205246913580247,141.0084239969136,25
1,IMG_9333.MOV,8,29.205246913580247,140.9652946566358,22
1,IMG_9333.MOV,9,29.205246913580247,141.01014033564815,32
1,IMG_9333.MOV,10,29.205246913580247,141.24288917824074,41
1,IMG_9333.MOV,11,29.205246913580247,140.9482166280864,36
1,IMG_9333.MOV,12,29.205246913580247,140.5856389853395,36
1,IMG_9333.MOV,13,29.205246913580247,140.62155478395061,36
1,IMG_9333.MOV,14,29.205246913580247,140.79984278549384,37
1,IMG_9333.MOV,15,29.205246913580247,140.79047453703703,31
1,IMG_9333.MOV,16,29.205246913580247,140.74524305555556,23
1,IMG_9333.MOV,17,29.205246913580247,140.89289255401235,38
1,IMG_9333.MOV,18,29.205246913580247,141.00652922453705,30
1,IMG_9333.MOV,19,29.205246913580247,141.19368489583334,31
1,IMG_9333.MOV,20,29.205246913580247,141.1380999228395,28
1,IMG_9333.MOV,21,29.205246913580247,141.8337287808642,24
1,IMG_9333.MOV,22,29.205246913580247,141.70718701774692,40
1,IMG_9333.MOV,23,29.205246913580247,141.32296826774692,37
1,IMG_9333.MOV,24,29.205246913580247,141.6521701388889,34
1,IMG_9333.MOV,25,29.205246913580247,141.46939525462963,29
1,IMG_9333.MOV,26,29.205246913580247,142.05074363425925,38
1,IMG_9333.MOV,27,29.205246913580247,142.37350597993827,32
1,IMG_9333.MOV,28,29.205246913580247,142.90666473765432,30
1,IMG_9333.MOV,29,29.205246913580247,143.6975106095679,30
1,IMG_9333.MOV,30,29.205246913580247,145.52618634259258,25
1,IMG_9333.MOV,31,29.205246913580247,147.53216917438272,22
1,IMG_9333.MOV,32,29.205246913580247,147.46198736496913,32
1,IMG_9333.MOV,33,29.205246913580247,143.77977719907406,39
1,IMG_9333.MOV,34,29.205246913580247,140.1747583912037,22
1,IMG_9333.MOV,35,29.205246913580247,137.53444106867283,39
1,IMG_9333.MOV,36,29.205246913580247,135.76520543981482,38
1,IMG_9333.MOV,37,29.205246913580247,134.32142698688273,26
1,IMG_9333.MOV,38,29.205246913580247,132.5525178433642,34
1,IMG_9333.MOV,39,29.205246913580247,131.09006606867283,24
1,IMG_9333.MOV,40,29.205246913580247,130.3555039544753,36
1,IMG_9333.MOV,41,29.205246913580247,130.2510271990741,35
1,IMG_9333.MOV,42,29.205246913580247,130.44743489583334,28
1,IMG_9333.MOV,43,29.205246913580247,130.4132421875,22
1,IMG_9333.MOV,44,29.205246913580247,129.97140480324074,41
1,IMG_9333.MOV,45,29.205246913580247,129.97239486882717,30
1,IMG_9333.MOV,46,29.205246913580247,129.64107783564816,39
1,IMG_9333.MOV,47,29.205246913580247,129.57030671296297,35
1,IMG_9333.MOV,48,29.205246913580247,128.96202353395063,37
1,IMG_9333.MOV,49,29.205246913580247,128.33654224537037,36
1,IMG_9333.MOV,50,29.205246913580247,127.84572916666667,25
1,IMG_9333.MOV,51,29.205246913580247,126.4782282021605,28
1,IMG_9333.MOV,52,29.205246913580247,125.86720775462963,30
1,IMG_9333.MOV,53,29.205246913580247,125.36271894290124,31
